Time,F,SL,Displ,x1,x2
 0.00000000e+00, 0.00000000e+00, 1.90000000e+00, 0.00000000e+00, 0.00000000e+00, 7.00000000e-03
 1.00000000e-03, 1.38457385e-01, 1.89861489e+00, 6.92553231e-04,-5.07130208e-04, 6.40200596e-03
 2.00000000e-03, 2.09675014e-01, 1.89791498e+00, 1.04250999e-03,-5.84373390e-04, 6.28898278e-03
 3.00000000e-03, 2.73496672e-01, 1.89729466e+00, 1.35266783e-03,-6.07656330e-04, 6.25653695e-03
 4.00000000e-03, 3.34770191e-01, 1.89670507e+00, 1.64746529e-03,-6.12874436e-04, 6.24930513e-03
 5.00000000e-03, 3.94504892e-01, 1.89613573e+00, 1.93213316e-03,-6.09647996e-04, 6.25303401e-03
 6.00000000e-03, 4.52976913e-01, 1.89558350e+00, 2.20824900e-03,-6.01757800e-04, 6.26260098e-03
 7.00000000e-03, 5.10252443e-01, 1.89504730e+00, 2.47634816e-03,-5.91019327e-04, 6.27567856e-03
 8.00000000e-03, 5.66324781e-01, 1.89452679e+00, 2.73660441e-03,-5.78426559e-04, 6.29102939e-03
 9.00000000e-03, 6.21160929e-01, 1.89402188e+00, 2.98905933e-03,-5.64579037e-04, 6.30791832e-03
 1.00000000e-02, 6.74720279e-01, 1.89353257e+00, 3.23371284e-03,-5.49867175e-04, 6.32586979e-03
 1.10000000e-02, 7.26962873e-01, 1.89305888e+00, 3.47056214e-03,-5.34561773e-04, 6.34455450e-03
 1.20000000e-02, 7.77853221e-01, 1.89260076e+00, 3.69961892e-03,-5.18860827e-04, 6.36373136e-03
 1.30000000e-02, 8.27361996e-01, 1.89215817e+00, 3.92091640e-03,-5.02915548e-04, 6.38321577e-03
 1.40000000e-02, 8.75466665e-01, 1.89173098e+00, 4.13451150e-03,-4.86845499e-04, 6.40286131e-03
 1.50000000e-02, 9.22151553e-01, 1.89131903e+00, 4.34048438e-03,-4.70747763e-04, 6.42254876e-03
 1.60000000e-02, 9.67407594e-01, 1.89092213e+00, 4.53893690e-03,-4.54702676e-04, 6.44217920e-03
 1.70000000e-02, 1.01123193e+00, 1.89054002e+00, 4.72999031e-03,-4.38777541e-04, 6.46166955e-03
 1.80000000e-02, 1.05362739e+00, 1.89017243e+00, 4.91378285e-03,-4.23029114e-04, 6.48094964e-03
 1.90000000e-02, 1.09460200e+00, 1.88981907e+00, 5.09046726e-03,-4.07505342e-04, 6.49996007e-03
 2.00000000e-02, 1.13416838e+00, 1.88947958e+00, 5.26020839e-03,-3.92246627e-04, 6.51865073e-03
 2.10000000e-02, 1.17234328e+00, 1.88915364e+00, 5.42318096e-03,-3.77286788e-04, 6.53697956e-03
 2.20000000e-02, 1.20914700e+00, 1.88884087e+00, 5.57956745e-03,-3.62653843e-04, 6.55491168e-03
 2.30000000e-02, 1.24460295e+00, 1.88854089e+00, 5.72955628e-03,-3.48370648e-04, 6.57241858e-03
 2.40000000e-02, 1.27873719e+00, 1.88825332e+00, 5.87334008e-03,-3.34455463e-04, 6.58947739e-03
 2.50000000e-02, 1.31157796e+00, 1.88797777e+00, 6.01111417e-03,-3.20922445e-04, 6.60607034e-03
 2.60000000e-02, 1.34315538e+00, 1.88771385e+00, 6.14307526e-03,-3.07782097e-04, 6.62218418e-03
 2.70000000e-02, 1.37350101e+00, 1.88746116e+00, 6.26942028e-03,-2.95041681e-04, 6.63780964e-03
 2.80000000e-02, 1.40264759e+00, 1.88721931e+00, 6.39034535e-03,-2.82705594e-04, 6.65294102e-03
 2.90000000e-02, 1.43062870e+00, 1.88698791e+00, 6.50604494e-03,-2.70775711e-04, 6.66757576e-03
 3.00000000e-02, 1.45747857e+00, 1.88676658e+00, 6.61671110e-03,-2.59251708e-04, 6.68171399e-03
 3.10000000e-02, 1.48323178e+00, 1.88655493e+00, 6.72253289e-03,-2.48131351e-04, 6.69535824e-03
 3.20000000e-02, 1.50792312e+00, 1.88635261e+00, 6.82369579e-03,-2.37410761e-04, 6.70851308e-03
 3.30000000e-02, 1.53158735e+00, 1.88615924e+00, 6.92038134e-03,-2.27084657e-04, 6.72118480e-03
 3.40000000e-02, 1.55425741e+00, 1.88597448e+00, 7.01275985e-03,-2.17147399e-04, 6.73338040e-03
 3.50000000e-02, 1.57596684e+00, 1.88579800e+00, 7.10100080e-03,-2.07591837e-04, 6.74510818e-03
 3.60000000e-02, 1.59675243e+00, 1.88562943e+00, 7.18528363e-03,-1.98408386e-04, 6.75637978e-03
 3.70000000e-02, 1.61664759e+00, 1.88546846e+00, 7.26577121e-03,-1.89588162e-04, 6.76720611e-03
 3.80000000e-02, 1.63568517e+00, 1.88531476e+00, 7.34262134e-03,-1.81121743e-04, 6.77759864e-03
 3.90000000e-02, 1.65389737e+00, 1.88516803e+00, 7.41598676e-03,-1.72999312e-04, 6.78756935e-03
 4.00000000e-02, 1.67131566e+00, 1.88502797e+00, 7.48601511e-03,-1.65210765e-04, 6.79713057e-03
 4.10000000e-02, 1.68797078e+00, 1.88489430e+00, 7.55284890e-03,-1.57745804e-04, 6.80629488e-03
 4.20000000e-02, 1.70389269e+00, 1.88476675e+00, 7.61662561e-03,-1.50594019e-04, 6.81507500e-03
 4.30000000e-02, 1.71911051e+00, 1.88464504e+00, 7.67747769e-03,-1.43744960e-04, 6.82348371e-03
 4.40000000e-02, 1.73365254e+00, 1.88452893e+00, 7.73553265e-03,-1.37188194e-04, 6.83153379e-03
 4.50000000e-02, 1.74754624e+00, 1.88441817e+00, 7.79091316e-03,-1.30913360e-04, 6.83923791e-03
 4.60000000e-02, 1.76081819e+00, 1.88431253e+00, 7.84373715e-03,-1.24910207e-04, 6.84660863e-03
 4.70000000e-02, 1.77349414e+00, 1.88421176e+00, 7.89411788e-03,-1.19168635e-04, 6.85365832e-03
 4.80000000e-02, 1.78559897e+00, 1.88411567e+00, 7.94216412e-03,-1.13678723e-04, 6.86039914e-03
 4.90000000e-02, 1.79715671e+00, 1.88402404e+00, 7.98798024e-03,-1.08430751e-04, 6.86684300e-03
 5.00000000e-02, 1.80819056e+00, 1.88393667e+00, 8.03166633e-03,-1.03415225e-04, 6.87300154e-03
 5.10000000e-02, 1.81872286e+00, 1.88385336e+00, 8.07331834e-03,-9.86228864e-05, 6.87888612e-03
 5.20000000e-02, 1.82877517e+00, 1.88377394e+00, 8.11302822e-03,-9.40447289e-05, 6.88450777e-03
 5.30000000e-02, 1.83836822e+00, 1.88369823e+00, 8.15088404e-03,-8.96720044e-05, 6.88987723e-03
 5.40000000e-02, 1.84752196e+00, 1.88362606e+00, 8.18697013e-03,-8.54962296e-05, 6.89500491e-03
 5.50000000e-02, 1.85625559e+00, 1.88355727e+00, 8.22136720e-03,-8.15091899e-05, 6.89990087e-03
 5.60000000e-02, 1.86458755e+00, 1.88349169e+00, 8.25415251e-03,-7.77029410e-05, 6.90457488e-03
 5.70000000e-02, 1.87253555e+00, 1.88342920e+00, 8.28539993e-03,-7.40698090e-05, 6.90903634e-03
 5.80000000e-02, 1.88011659e+00, 1.88336964e+00, 8.31518012e-03,-7.06023889e-05, 6.91329434e-03
 5.90000000e-02, 1.88734700e+00, 1.88331288e+00, 8.34356065e-03,-6.72935418e-05, 6.91735764e-03
 6.00000000e-02, 1.89424242e+00, 1.88325879e+00, 8.37060611e-03,-6.41363920e-05, 6.92123468e-03
 6.10000000e-02, 1.90081786e+00, 1.88320724e+00, 8.39637820e-03,-6.11243216e-05, 6.92493359e-03
 6.20000000e-02, 1.90708772e+00, 1.88315813e+00, 8.42093590e-03,-5.82509663e-05, 6.92846217e-03
 6.30000000e-02, 1.91306576e+00, 1.88311133e+00, 8.44433554e-03,-5.55102093e-05, 6.93182793e-03
 6.40000000e-02, 1.91876519e+00, 1.88306674e+00, 8.46663094e-03,-5.28961752e-05, 6.93503809e-03
 6.50000000e-02, 1.92419866e+00, 1.88302425e+00, 8.48787347e-03,-5.04032241e-05, 6.93809957e-03
 6.60000000e-02, 1.92937825e+00, 1.88298378e+00, 8.50811221e-03,-4.80259445e-05, 6.94101901e-03
 6.70000000e-02, 1.93431555e+00, 1.88294521e+00, 8.52739399e-03,-4.57591465e-05, 6.94380278e-03
 6.80000000e-02, 1.93902164e+00, 1.88290847e+00, 8.54576352e-03,-4.35978554e-05, 6.94645699e-03
 6.90000000e-02, 1.94350711e+00, 1.88287347e+00, 8.56326347e-03,-4.15373043e-05, 6.94898750e-03
 7.00000000e-02, 1.94778209e+00, 1.88284013e+00, 8.57993458e-03,-3.95729271e-05, 6.95139991e-03
 7.10000000e-02, 1.95185627e+00, 1.88280837e+00, 8.59581570e-03,-3.77003521e-05, 6.95369958e-03
 7.20000000e-02, 1.95573890e+00, 1.88277811e+00, 8.61094389e-03,-3.59153942e-05, 6.95589166e-03
 7.30000000e-02, 1.95943884e+00, 1.88274929e+00, 8.62535454e-03,-3.42140492e-05, 6.95798106e-03
 7.40000000e-02, 1.96296453e+00, 1.88272184e+00, 8.63908138e-03,-3.25924862e-05, 6.95997249e-03
 7.50000000e-02, 1.96632406e+00, 1.88269569e+00, 8.65215658e-03,-3.10470415e-05, 6.96187044e-03
 7.60000000e-02, 1.96952514e+00, 1.88267078e+00, 8.66461084e-03,-2.95742120e-05, 6.96367922e-03
 7.70000000e-02, 1.97257645e+00, 1.88264704e+00, 8.67647856e-03,-2.81700145e-05, 6.96540356e-03
 7.80000000e-02, 1.97548509e+00, 1.88262442e+00, 8.68778789e-03,-2.68312549e-05, 6.96704764e-03
 7.90000000e-02, 1.97825615e+00, 1.88260288e+00, 8.69855908e-03,-2.55556320e-05, 6.96861424e-03
 8.00000000e-02, 1.98089604e+00, 1.88258236e+00, 8.70881752e-03,-2.43402136e-05, 6.97010691e-03
 8.10000000e-02, 1.98341089e+00, 1.88256283e+00, 8.71858748e-03,-2.31821976e-05, 6.97152909e-03
 8.20000000e-02, 1.98580658e+00, 1.88254422e+00, 8.72789214e-03,-2.20789059e-05, 6.97288406e-03
 8.30000000e-02, 1.98808868e+00, 1.88252649e+00, 8.73675346e-03,-2.10277927e-05, 6.97417496e-03
 8.40000000e-02, 1.99026252e+00, 1.88250962e+00, 8.74519249e-03,-2.00264201e-05, 6.97540477e-03
 8.50000000e-02, 1.99233321e+00, 1.88249354e+00, 8.75322928e-03,-1.90724583e-05, 6.97657635e-03
 8.60000000e-02, 1.99430557e+00, 1.88247823e+00, 8.76088286e-03,-1.81636935e-05, 6.97769243e-03
 8.70000000e-02, 1.99618424e+00, 1.88246366e+00, 8.76817144e-03,-1.72980064e-05, 6.97875560e-03
